Header id: 	af243246	56fe1289	9078bc29	80340101
03/04/2022 22:24:13
Sample frequency:	999 (Hz)
6 column(s):	SENSOR_TIMESTAMP(ns)	uint64	(8)	SYSTEM_RELATIVE_TIMESTAMP(ms)	uint64	(8)	GYR_CALIB_X(rad/s)	float	(4) 	GYR_CALIB_Y(rad/s)	float	(4) 	GYR_CALIB_Z(rad/s)	float	(4)	ACCURACY	float	(4)	

Calib id: 	af243246	56fe1289	9078bc29	80360200
Calib datetime:	03/04/2022 22:24:13
Calib version:	2
Number of Calibration coefficient:	1
SYSTEM_REFERENCE_TIMESTAMP(ms)	double	(1, 1)
1648995853180

Data id: 	af243246	56fe1289	9078bc29	80350100	
9808135883500827	284	-0.8177042	-0.1454732	-0.33508575	3	
9808135885500827	286	-0.818158	-0.14404203	-0.34382987	3	
9808135887500827	288	-0.8177042	-0.14187782	-0.35212016	3	
9808135889500827	290	-0.8175297	-0.14004523	-0.35896188	3	
9808135891500827	292	-0.81681406	-0.13772394	-0.3658559	3	
9808135893500827	295	-0.8155749	-0.1348965	-0.3737099	3	
9808135895500827	296	-0.81349796	-0.13184217	-0.3806912	3	
9808135897500827	298	-0.8098153	-0.12838642	-0.386381	3	
9808135899500827	301	-0.80546945	-0.1254019	-0.39121556	3	
9808135901500827	303	-0.8008618	-0.12260938	-0.39538687	3	
9808135903519577	304	-0.7952069	-0.1192758	-0.39898226	3	
9808135905500827	306	-0.7887841	-0.117268674	-0.40203658	3	
9808135907500827	308	-0.7827104	-0.11709414	-0.40516073	3	
9808135909500827	310	-0.77707297	-0.117024325	-0.4073773	3	
9808135911500827	312	-0.7709992	-0.11667526	-0.40828487	3	
9808135913500827	314	-0.76410514	-0.115279	-0.40802306	3	
9808135915500827	316	-0.7575078	-0.11185815	-0.40634754	3	
9808135917500827	318	-0.7519926	-0.107634455	-0.40313616	3	
9808135919500827	320	-0.7475245	-0.102433376	-0.3986681	3	
9808135921500827	322	-0.74319607	-0.09590584	-0.39369392	3	
9808135923500827	324	-0.73794264	-0.08850565	-0.38756782	3	
9808135925500827	327	-0.73296845	-0.079813905	-0.3806563	3	
9808135927500827	328	-0.7296873	-0.06997025	-0.37309903	3	
9808135929500827	330	-0.7264584	-0.059969515	-0.36498326	3	
9808135931500827	332	-0.7223045	-0.049898963	-0.35725144	3	
9808135933500827	334	-0.7187091	-0.041050144	-0.34842008	3	
9808135935500827	337	-0.716318	-0.032410763	-0.33758157	3	
9808135937500827	339	-0.71438074	-0.022584561	-0.32525957	3	
9808135939500827	341	-0.7123387	-0.012583824	-0.3129899	3	
9808135941500827	343	-0.7108726	-0.002513274	-0.30073768	3	
9808135943500827	344	-0.71027917	0.0072431164	-0.28722882	3	
9808135945500827	347	-0.710349	0.018483037	-0.27384216	3	
9808135947500827	349	-0.71101224	0.032532938	-0.26113617	3	
9808135949500827	351	-0.71223396	0.046774823	-0.2483778	3	
9808135951500827	352	-0.7146076	0.060772363	-0.2353053	3	
9808135953500827	355	-0.71684164	0.075939275	-0.22209315	3	
9808135955500827	356	-0.7190233	0.09096656	-0.20912535	3	
9808135957500827	359	-0.72117007	0.10559242	-0.19690804	3	
9808135959500827	361	-0.7229852	0.12007865	-0.18563321	3	
9808135961500827	362	-0.7259348	0.1338493	-0.1747249	3	
9808135963500827	364	-0.72904146	0.14704399	-0.16365953	3	
9808135965500827	366	-0.7324972	0.15934856	-0.15283848	3	
9808135967500827	369	-0.7361275	0.1709899	-0.14275047	3	
9808135969507077	371	-0.7388677	0.18203785	-0.1335875	3	
9808135971500827	372	-0.7418696	0.19223057	-0.1251401	3	
9808135973500827	374	-0.7456221	0.20237093	-0.117268674	3	
9808135975500827	376	-0.7493571	0.21090558	-0.11122983	3	
9808135977530514	378	-0.7534063	0.21722367	-0.10592403	3	
9808135979500827	380	-0.75820595	0.22485077	-0.09967575	3	
9808135981500827	382	-0.76331973	0.23331562	-0.093654364	3	
9808135983500827	384	-0.7694982	0.24087289	-0.08868018	3	
9808135985503952	387	-0.77707297	0.24773203	-0.08381071	3	
9808135987500827	388	-0.78487456	0.2536836	-0.07930776	3	
9808135989500827	390	-0.7924842	0.25926867	-0.07494444	3	
9808135991500827	392	-0.7999891	0.26436502	-0.071593404	3	
9808135993500827	394	-0.8074766	0.26834437	-0.06990044	3	
9808135995500827	396	-0.8152433	0.2718525	-0.06859144	3	
9808135997500827	398	-0.8225213	0.27518606	-0.06742207	3	
9808135999500827	400	-0.8283158	0.2768441	-0.066636674	3	
9808136001500827	402	-0.8335169	0.27721065	-0.06726499	3	
9808136003500827	404	-0.8387878	0.27609363	-0.069097586	3	
9808136005500827	406	-0.84440774	0.27344072	-0.07016224	3	
9808136007500827	408	-0.85016733	0.27108455	-0.07089528	3	
9808136009500827	410	-0.85568255	0.26918212	-0.07278023	3	
9808136011500827	413	-0.86170393	0.26715755	-0.07482226	3	
9808136013500827	415	-0.86762065	0.264749	-0.076270886	3	
9808136015500827	417	-0.8735024	0.26218337	-0.07812094	3	
9808136017500827	419	-0.87938416	0.2592512	-0.080145516	3	
9808136019500827	421	-0.885231	0.2558478	-0.0819083	3	
9808136021500827	423	-0.8910953	0.2516241	-0.08389798	3	
9808136023500827	424	-0.896628	0.24579471	-0.085329145	3	
9808136025500827	427	-0.90299845	0.24026202	-0.08655088	3	
9808136027500827	428	-0.9093689	0.23581143	-0.08768534	3	
9808136029500827	431	-0.91512847	0.23020893	-0.08939576	3	
9808136031500827	433	-0.9206263	0.22287855	-0.09168214	3	
9808136033500827	434	-0.92664766	0.21610667	-0.09386381	3	
9808136035500827	437	-0.931936	0.21050416	-0.096342176	3	
9808136037499264	439	-0.9362993	0.2041337	-0.09829694	3	
9808136039507077	441	-0.9406103	0.19837412	-0.10033898	3	
9808136041500827	443	-0.9432981	0.19538961	-0.102136664	3	
9808136043508639	444	-0.94534016	0.19387117	-0.10316641	3	
9808136045500827	446	-0.9477661	0.19357447	-0.10454522	3	
9808136047500827	448	-0.949686	0.19533725	-0.107634455	3	
9808136049500827	451	-0.9507856	0.19764109	-0.112661004	3	
9808136051500827	452	-0.9515535	0.19762363	-0.11787954	3	
9808136053500827	454	-0.9521818	0.19603539	-0.12315043	3	
9808136055500827	456	-0.95179784	0.19350465	-0.1287704	3	
9808136057500827	459	-0.95101243	0.18900171	-0.13421582	3	
9808136059500827	460	-0.9497558	0.1836959	-0.14084807	3	
9808136061500827	463	-0.9473473	0.17743017	-0.14828317	3	
9808136063521139	465	-0.943525	0.16982053	-0.15542157	3	
9808136065503952	466	-0.9391268	0.1616873	-0.16369443	3	
9808136067500827	468	-0.9348158	0.15395549	-0.17367771	3	
9808136069500827	470	-0.929894	0.14638077	-0.1834341	3	
9808136071500827	472	-0.9244311	0.13824753	-0.19245745	3	
9808136073500827	474	-0.9187239	0.12831661	-0.2014808	3	
9808136075500827	476	-0.91292936	0.116692714	-0.21053907	3	
9808136077533639	478	-0.9061575	0.10629055	-0.21989404	3	
9808136079500827	480	-0.89867	0.09794788	-0.22970279	3	
9808136081500827	483	-0.8912	0.09138544	-0.23968607	3	
9808136083500827	484	-0.8831017	0.085887656	-0.25007078	3	
9808136085500827	486	-0.874759	0.08016297	-0.25967008	3	
9808136087500827	488	-0.86756825	0.07405432	-0.2676637	3	
9808136089500827	490	-0.860552	0.06808529	-0.2756573	3	
9808136091500827	493	-0.8526457	0.06314601	-0.28333676	3	
9808136093500827	494	-0.8440587	0.058608156	-0.29024825	3	
9808136095500827	497	-0.8345641	0.05391322	-0.29715976	3	
9808136097500827	498	-0.82501715	0.049165923	-0.3040887	3	
9808136099500827	500	-0.8151386	0.045012042	-0.3103719	3	
9808136101500827	502	-0.80478877	0.042394046	-0.3167249	3	
9808136103508639	504	-0.7939677	0.039741147	-0.3227812	3	
9808136105500827	506	-0.78291976	0.035814155	-0.328087	3	
9808136107500827	508	-0.77243036	0.03169518	-0.33370695	3	
9808136109500827	511	-0.7618537	0.028448867	-0.33916983	3	
9808136111500827	512	-0.75122464	0.02459169	-0.34327134	3	
9808136113500827	514	-0.7409097	0.01860521	-0.3468493	3	
9808136115500827	516	-0.7313453	0.011431906	-0.350497	3	
9808136117500827	518	-0.7223918	0.0034557518	-0.3535688	3	
9808136119500827	520	-0.71432835	-0.0045029493	-0.35639623	3	
9808136121500827	522	-0.7063173	-0.011536626	-0.35945055	3	
9808136123500827	524	-0.69832367	-0.01881465	-0.36288884	3	
9808136125500827	527	-0.69127256	-0.025883233	-0.3665017	3	
9808136127500827	528	-0.684937	-0.030962141	-0.37049848	3	
9808136129500827	530	-0.6785666	-0.03398156	-0.3752807	3	
9808136131500827	532	-0.6715678	-0.03584906	-0.3791204	3	
9808136133500827	534	-0.66460395	-0.03754203	-0.38226202	3	
9808136135500827	538	-0.65861744	-0.038868483	-0.38512436	3	
9808136137500827	541	-0.65301496	-0.040683623	-0.38692203	3	
9808136139513327	542	-0.6463303	-0.043615777	-0.3882834	3	
9808136141513327	544	-0.6401344	-0.04670501	-0.38947022	3	
9808136143510202	545	-0.6360329	-0.050178215	-0.3896273	3	
9808136145500827	548	-0.6321408	-0.05412266	-0.3896971	3	
9808136147536764	549	-0.6277251	-0.057613317	-0.39004618	3	
9808136149513327	550	-0.6230825	-0.059986968	-0.3901858	3	
9808136151500827	552	-0.61803854	-0.061575215	-0.3908665	3	
9808136153500827	554	-0.61283743	-0.06190683	-0.39177406	3	
9808136155500827	556	-0.60660666	-0.060161497	-0.39247218	3	
9808136157500827	559	-0.5999744	-0.05660103	-0.3930656	3	
9808136159500827	560	-0.59442425	-0.052935835	-0.39393827	3	
9808136161500827	562	-0.5880712	-0.04988151	-0.39524725	3	
9808136163500827	564	-0.5804267	-0.046739917	-0.39639917	3	
9808136165500827	566	-0.57321846	-0.043563418	-0.39749873	3	
9808136167500827	568	-0.56587064	-0.040683623	-0.3992266	3	
9808136169500827	570	-0.5578247	-0.037943456	-0.40055305	3	
9808136171500827	572	-0.54949945	-0.034924038	-0.4007625	3	
9808136173500827	574	-0.5413662	-0.03213151	-0.40118137	3	
9808136175500827	576	-0.5333377	-0.030665435	-0.40196678	3	
9808136177510202	578	-0.5246983	-0.030072022	-0.4022984	3	
9808136179500827	580	-0.5161288	-0.029513517	-0.40306634	3	
9808136181500827	582	-0.5085366	-0.029932396	-0.4040088	3	
9808136183499264	584	-0.50197417	-0.031031953	-0.40439278	3	
9808136185500827	586	-0.49645892	-0.033073988	-0.404864	3	
9808136187500827	588	-0.49106583	-0.036110863	-0.40568432	3	
9808136189500827	590	-0.48507935	-0.03954916	-0.40695843	3	
9808136191500827	592	-0.47884855	-0.043476153	-0.40811035	3	
9808136193500827	594	-0.47253045	-0.04790929	-0.40954152	3	
9808136195500827	596	-0.46680576	-0.053197637	-0.4120024	3	
9808136197500827	598	-0.46099383	-0.058189277	-0.4145855	3	
9808136199500827	600	-0.45485026	-0.06305875	-0.4169068	3	
9808136201500827	602	-0.45013785	-0.068190016	-0.41879174	3	
9808136203500827	604	-0.44600144	-0.0731293	-0.42081633	3	
9808136205500827	606	-0.44116688	-0.079237945	-0.4232249	3	
9808136207500827	608	-0.4360356	-0.086149454	-0.4261047	3	
9808136209500827	610	-0.43142793	-0.09337512	-0.42947316	3	
9808136211500827	612	-0.42734388	-0.1007404	-0.43338272	3	
9808136213516452	614	-0.4244117	-0.107215576	-0.43813	3	
9808136215502389	616	-0.4222824	-0.11205014	-0.4432089	3	
9808136217500827	618	-0.41983896	-0.115279	-0.44748497	3	
9808136219500827	620	-0.41819835	-0.11786208	-0.451761	3	
9808136221500827	623	-0.4169068	-0.12018337	-0.45570546	3	
9808136223500827	624	-0.41606903	-0.12363912	-0.45793948	3	
9808136225500827	626	-0.41603413	-0.12884021	-0.46074948	3	
9808136227500827	628	-0.41572	-0.1341111	-0.46504298	3	
9808136229500827	630	-0.41495204	-0.13847442	-0.4696332	3	
9808136231500827	632	-0.41463786	-0.14182545	-0.47403142	3	
9808136233500827	634	-0.41482985	-0.14412929	-0.47865656	3	
9808136235500827	636	-0.41489968	-0.14444345	-0.48307222	3	
9808136237500827	638	-0.4139921	-0.14362314	-0.48675486	3	
9808136239500827	640	-0.41203734	-0.14329153	-0.4898441	3	
9808136241500827	642	-0.40997785	-0.14315191	-0.49172905	3	
9808136243500827	644	-0.4075693	-0.14213961	-0.49281117	3	
9808136245500827	646	-0.4046895	-0.14016739	-0.49387583	3	
9808136247500827	648	-0.4016177	-0.13809045	-0.49525464	3	
9808136249500827	650	-0.39880773	-0.13660692	-0.49645892	3	
9808136251500827	652	-0.39669588	-0.13601351	-0.4969476	3	
9808136253500827	654	-0.39521235	-0.13482669	-0.49745375	3	
9808136255500827	656	-0.39397317	-0.13117895	-0.49860567	3	
9808136257500827	658	-0.3941128	-0.12496557	-0.49939105	3	
9808136259500827	660	-0.39510763	-0.116116755	-0.49844858	3	
9808136261500827	662	-0.39772564	-0.10210176	-0.49459141	3	
9808136263500827	664	-0.40194932	-0.08819149	-0.4892507	3	
